Longitude,Latitude,Pixel,Scan
23.3750342,1.05603736,0,0
23.3760286,1.05614298,100,0
23.3770232,1.05624863,200,0
23.3780179,1.0563543,300,0
23.3790128,1.05645999,400,0
23.3800078,1.05656571,500,0
23.381003,1.05667145,600,0
23.3819984,1.05677721,700,0
23.3829938,1.056883,800,0
23.3839895,1.0569888,900,0
23.3849852,1.05709464,1000,0
23.3859812,1.05720049,1100,0
23.3869772,1.05730637,1200,0
23.3879735,1.05741227,1300,0
23.3889698,1.0575182,1400,0
23.3899664,1.05762415,1500,0
23.390963,1.05773012,1600,0
23.3919599,1.05783611,1700,0
23.3929568,1.05794213,1800,0
23.3939539,1.05804817,1900,0
23.3949512,1.05815423,2000,0
23.3959486,1.05826032,2100,0
23.3969462,1.05836643,2200,0
23.3979439,1.05847256,2300,0
23.3989418,1.05857872,2400,0
23.3999398,1.0586849,2500,0
23.400938,1.05879111,2600,0
23.4019363,1.05889733,2700,0
23.4029348,1.05900358,2800,0
23.4039334,1.05910986,2900,0
23.4049322,1.05921615,3000,0
23.4059311,1.05932247,3100,0
23.4069302,1.05942882,3200,0
23.4079294,1.05953518,3300,0
23.4089288,1.05964157,3400,0
23.4099283,1.05974799,3500,0
23.410928,1.05985443,3600,0
23.4119278,1.05996089,3700,0
23.4129278,1.06006737,3800,0
23.4139279,1.06017388,3900,0
23.4149282,1.06028041,4000,0
23.4159286,1.06038696,4100,0
23.4169292,1.06049354,4200,0
23.4179299,1.06060014,4300,0
23.4189308,1.06070676,4400,0
23.4199319,1.06081341,4500,0
23.4209331,1.06092008,4600,0
23.4219344,1.06102678,4700,0
23.4229359,1.06113349,4800,0
23.4239375,1.06124024,4900,0
23.4249393,1.061347,5000,0
23.4259412,1.06145379,5100,0
23.4269433,1.0615606,5200,0
23.4279456,1.06166744,5300,0
23.428948,1.0617743,5400,0
23.4299505,1.06188118,5500,0
23.4309532,1.06198809,5600,0
23.4319561,1.06209502,5700,0
23.4329591,1.06220197,5800,0
23.4339622,1.06230895,5900,0
23.4349655,1.06241595,6000,0
23.435969,1.06252297,6100,0
23.4369726,1.06263002,6200,0
23.4379764,1.06273709,6300,0
23.4389803,1.06284418,6400,0
23.4399844,1.0629513,6500,0
23.4409886,1.06305845,6600,0
23.4419929,1.06316561,6700,0
23.4429975,1.0632728,6800,0
23.4440021,1.06338001,6900,0
23.445007,1.06348725,7000,0
23.446012,1.06359451,7100,0
23.4470171,1.06370179,7200,0
23.4480224,1.0638091,7300,0
23.4490278,1.06391643,7400,0
23.4500334,1.06402379,7500,0
23.4510391,1.06413117,7600,0
23.452045,1.06423857,7700,0
23.4530511,1.064346,7800,0
23.4540573,1.06445345,7900,0
23.4550636,1.06456092,8000,0
23.4560701,1.06466842,8100,0
23.4570768,1.06477594,8200,0
23.4580836,1.06488349,8300,0
23.4590906,1.06499105,8400,0
23.4600977,1.06509865,8500,0
23.461105,1.06520626,8600,0
23.4621124,1.0653139,8700,0
23.46312,1.06542157,8800,0
23.4641277,1.06552926,8900,0
23.4651356,1.06563697,9000,0
23.4661436,1.06574471,9100,0
23.4671518,1.06585246,9200,0
23.4681602,1.06596025,9300,0
23.4691687,1.06606806,9400,0
23.4701773,1.06617589,9500,0
23.4711861,1.06628374,9600,0
23.4721951,1.06639162,9700,0
23.4732042,1.06649952,9800,0
23.4742135,1.06660745,9900,0
23.4752229,1.0667154,10000,0
23.4762325,1.06682338,10100,0
23.4772422,1.06693138,10200,0
23.4782521,1.0670394,10300,0
23.4792621,1.06714745,10400,0
23.4802723,1.06725552,10500,0
23.4812827,1.06736361,10600,0
23.4822932,1.06747173,10700,0
23.4833038,1.06757987,10800,0
23.4843146,1.06768804,10900,0
23.4853256,1.06779623,11000,0
23.4863367,1.06790444,11100,0
23.487348,1.06801268,11200,0
23.4883594,1.06812095,11300,0
23.489371,1.06822923,11400,0
23.4903827,1.06833754,11500,0
23.4913946,1.06844588,11600,0
23.4924067,1.06855424,11700,0
23.4934189,1.06866262,11800,0
23.4944312,1.06877103,11900,0
23.4954336,1.06887838,11999,0
23.3750306,1.05497245,0,100
23.376025,1.05507807,100,100
23.3770196,1.05518372,200,100
23.3780144,1.05528939,300,100
23.3790092,1.05539508,400,100
23.3800043,1.0555008,500,100
23.3809994,1.05560654,600,100
23.3819948,1.0557123,700,100
23.3829902,1.05581809,800,100
23.3839859,1.0559239,900,100
23.3849816,1.05602973,1000,100
23.3859776,1.05613558,1100,100
23.3869736,1.05624146,1200,100
23.3879699,1.05634736,1300,100
23.3889662,1.05645329,1400,100
23.3899628,1.05655924,1500,100
23.3909594,1.05666521,1600,100
23.3919563,1.0567712,1700,100
23.3929532,1.05687722,1800,100
23.3939504,1.05698326,1900,100
23.3949476,1.05708933,2000,100
23.3959451,1.05719541,2100,100
23.3969426,1.05730153,2200,100
23.3979403,1.05740766,2300,100
23.3989382,1.05751382,2400,100
23.3999362,1.05762,2500,100
23.4009344,1.0577262,2600,100
23.4019327,1.05783243,2700,100
23.4029312,1.05793868,2800,100
23.4039298,1.05804495,2900,100
23.4049286,1.05815125,3000,100
23.4059275,1.05825757,3100,100
23.4069266,1.05836391,3200,100
23.4079258,1.05847028,3300,100
23.4089252,1.05857667,3400,100
23.4099247,1.05868309,3500,100
23.4109244,1.05878952,3600,100
23.4119242,1.05889598,3700,100
23.4129242,1.05900247,3800,100
23.4139243,1.05910898,3900,100
23.4149246,1.05921551,4000,100
23.415925,1.05932206,4100,100
23.4169256,1.05942864,4200,100
23.4179264,1.05953524,4300,100
23.4189272,1.05964186,4400,100
23.4199283,1.05974851,4500,100
23.4209295,1.05985518,4600,100
23.4219308,1.05996188,4700,100
23.4229323,1.0600686,4800,100
23.4239339,1.06017534,4900,100
23.4249357,1.0602821,5000,100
23.4259377,1.06038889,5100,100
23.4269397,1.06049571,5200,100
23.427942,1.06060254,5300,100
23.4289444,1.0607094,5400,100
23.4299469,1.06081628,5500,100
23.4309496,1.06092319,5600,100
23.4319525,1.06103012,5700,100
23.4329555,1.06113707,5800,100
23.4339586,1.06124405,5900,100
23.434962,1.06135105,6000,100
23.4359654,1.06145808,6100,100
23.436969,1.06156512,6200,100
23.4379728,1.0616722,6300,100
23.4389767,1.06177929,6400,100
23.4399808,1.06188641,6500,100
23.440985,1.06199355,6600,100
23.4419894,1.06210072,6700,100
23.4429939,1.06220791,6800,100
23.4439985,1.06231512,6900,100
23.4450034,1.06242236,7000,100
23.4460084,1.06252962,7100,100
23.4470135,1.0626369,7200,100
23.4480188,1.06274421,7300,100
23.4490242,1.06285154,7400,100
23.4500298,1.0629589,7500,100
23.4510355,1.06306628,7600,100
23.4520414,1.06317368,7700,100
23.4530475,1.06328111,7800,100
23.4540537,1.06338856,7900,100
23.45506,1.06349603,8000,100
23.4560666,1.06360353,8100,100
23.4570732,1.06371105,8200,100
23.45808,1.0638186,8300,100
23.459087,1.06392617,8400,100
23.4600941,1.06403376,8500,100
23.4611014,1.06414138,8600,100
23.4621088,1.06424902,8700,100
23.4631164,1.06435668,8800,100
23.4641241,1.06446437,8900,100
23.465132,1.06457208,9000,100
23.46614,1.06467982,9100,100
23.4671482,1.06478758,9200,100
23.4681566,1.06489536,9300,100
23.4691651,1.06500317,9400,100
23.4701737,1.065111,9500,100
23.4711825,1.06521886,9600,100
23.4721915,1.06532674,9700,100
23.4732006,1.06543464,9800,100
23.4742099,1.06554257,9900,100
23.4752193,1.06565052,10000,100
23.4762289,1.06575849,10100,100
23.4772386,1.06586649,10200,100
23.4782485,1.06597452,10300,100
23.4792585,1.06608256,10400,100
23.4802687,1.06619063,10500,100
23.4812791,1.06629873,10600,100
23.4822896,1.06640685,10700,100
23.4833002,1.06651499,10800,100
23.484311,1.06662316,10900,100
23.485322,1.06673135,11000,100
23.4863331,1.06683956,11100,100
23.4873444,1.0669478,11200,100
23.4883558,1.06705607,11300,100
23.4893674,1.06716435,11400,100
23.4903791,1.06727267,11500,100
23.491391,1.067381,11600,100
23.4924031,1.06748936,11700,100
23.4934153,1.06759774,11800,100
23.4944276,1.06770615,11900,100
23.49543,1.0678135,11999,100
23.3750271,1.05390752,0,200
23.3760215,1.05401314,100,200
23.3770161,1.05411879,200,200
23.3780108,1.05422446,300,200
23.3790057,1.05433016,400,200
23.3800007,1.05443587,500,200
23.3809959,1.05454161,600,200
23.3819912,1.05464738,700,200
23.3829867,1.05475316,800,200
23.3839823,1.05485897,900,200
23.3849781,1.0549648,1000,200
23.385974,1.05507066,1100,200
23.3869701,1.05517654,1200,200
23.3879663,1.05528244,1300,200
23.3889627,1.05538837,1400,200
23.3899592,1.05549431,1500,200
23.3909559,1.05560029,1600,200
23.3919527,1.05570628,1700,200
23.3929497,1.0558123,1800,200
23.3939468,1.05591834,1900,200
23.3949441,1.05602441,2000,200
23.3959415,1.05613049,2100,200
23.3969391,1.0562366,2200,200
23.3979368,1.05634274,2300,200
23.3989347,1.0564489,2400,200
23.3999327,1.05655508,2500,200
23.4009309,1.05666128,2600,200
23.4019292,1.05676751,2700,200
23.4029277,1.05687376,2800,200
23.4039263,1.05698003,2900,200
23.4049251,1.05708633,3000,200
23.405924,1.05719265,3100,200
23.4069231,1.057299,3200,200
23.4079223,1.05740536,3300,200
23.4089217,1.05751175,3400,200
23.4099212,1.05761817,3500,200
23.4109209,1.05772461,3600,200
23.4119207,1.05783107,3700,200
23.4129207,1.05793755,3800,200
23.4139208,1.05804406,3900,200
23.4149211,1.05815059,4000,200
23.4159215,1.05825714,4100,200
23.4169221,1.05836372,4200,200
23.4179228,1.05847032,4300,200
23.4189237,1.05857695,4400,200
23.4199247,1.0586836,4500,200
23.4209259,1.05879027,4600,200
23.4219273,1.05889696,4700,200
23.4229287,1.05900368,4800,200
23.4239304,1.05911042,4900,200
23.4249322,1.05921719,5000,200
23.4259341,1.05932398,5100,200
23.4269362,1.05943079,5200,200
23.4279385,1.05953763,5300,200
23.4289408,1.05964449,5400,200
23.4299434,1.05975137,5500,200
23.4309461,1.05985828,5600,200
23.4319489,1.05996521,5700,200
23.4329519,1.06007216,5800,200
23.4339551,1.06017914,5900,200
23.4349584,1.06028614,6000,200
23.4359619,1.06039316,6100,200
23.4369655,1.06050021,6200,200
23.4379692,1.06060728,6300,200
23.4389732,1.06071438,6400,200
23.4399772,1.0608215,6500,200
23.4409814,1.06092864,6600,200
23.4419858,1.06103581,6700,200
23.4429903,1.061143,6800,200
23.443995,1.06125021,6900,200
